age_int,attention,n,sd,age,snapshot
34,24.502439024390245,205,12.78350054479843,34.799999999999955,2016-10
35,24.33175355450237,211,13.635523852053787,35.799999999999955,2016-10
36,23.307692307692307,195,13.376302029608619,36.799999999999955,2016-10
37,24.704545454545453,220,13.35804709405062,37.79999999999995,2016-10
38,22.572192513368982,187,14.5442919005179,38.799999999999955,2016-10
39,21.886255924170616,211,14.681259538249058,39.799999999999955,2016-10
40,20.88695652173913,230,13.3339801121529,40.799999999999955,2016-10
41,20.248945147679326,237,12.604867272895717,41.799999999999955,2016-10
42,20.82608695652174,253,12.438156192482838,42.799999999999955,2016-10
43,21.693548387096776,248,13.121159114490252,43.799999999999955,2016-10
44,19.294573643410853,258,12.327188703634844,44.799999999999955,2016-10
45,18.214285714285715,280,13.351216885344515,45.799999999999955,2016-10
46,18.110344827586207,290,12.446490169029223,46.799999999999955,2016-10
47,17.315457413249213,317,12.32015615380077,47.799999999999955,2016-10
48,16.938080495356036,323,12.635201936695674,48.799999999999955,2016-10
49,18.0,358,12.533875666197043,49.799999999999955,2016-10
50,15.656151419558359,317,12.010480721722708,50.799999999999955,2016-10
51,15.613636363636363,308,12.353773075840326,51.799999999999955,2016-10
52,15.753424657534246,292,13.123553309285487,52.799999999999955,2016-10
53,13.462295081967213,305,11.100885513730697,53.799999999999955,2016-10
54,12.268608414239482,309,10.302676726585494,54.799999999999955,2016-10
55,13.510791366906474,278,11.975526732745921,55.799999999999955,2016-10
56,13.743589743589743,234,11.578916644642767,56.799999999999955,2016-10
57,13.330097087378642,206,11.06467757083891,57.799999999999955,2016-10
58,14.241379310344827,116,11.969250958842084,58.799999999999955,2016-10
0,76.33561643835617,146,10.111296105234379,0.5499999999999545,2017-07
1,68.30084745762711,236,11.07722214016624,1.5499999999999543,2017-07
2,62.00934579439252,214,12.582867349841797,2.5499999999999545,2017-07
3,58.59183673469388,196,12.564775129106078,3.5499999999999545,2017-07
4,56.28909952606635,211,12.657646837820996,4.5499999999999545,2017-07
5,53.20603015075377,199,12.402051142635274,5.5499999999999545,2017-07
6,49.46289752650177,283,12.974382892173498,6.5499999999999545,2017-07
7,50.18115942028985,276,11.005939227854205,7.549999999999956,2017-07
8,48.95348837209303,258,11.392782523180491,8.549999999999955,2017-07
9,49.8421052631579,228,12.619877298822242,9.549999999999956,2017-07
10,51.276595744680854,188,11.196260123607786,10.549999999999956,2017-07
11,49.048780487804876,205,12.673407428881983,11.549999999999956,2017-07
12,50.009302325581395,215,11.968803177886077,12.549999999999956,2017-07
13,46.693251533742334,163,13.590724545926678,13.549999999999956,2017-07
14,47.375,168,13.78130622247415,14.549999999999958,2017-07
15,45.34640522875817,153,12.927592003885326,15.549999999999956,2017-07
16,44.13986013986014,143,14.409797820224197,16.549999999999955,2017-07
17,42.97530864197531,162,12.875876918714605,17.549999999999955,2017-07
18,42.54676258992806,139,15.117521757249412,18.549999999999955,2017-07
19,35.943396226415096,159,16.14540154112897,19.549999999999955,2017-07
20,34.90963855421687,166,14.771726592894684,20.549999999999955,2017-07
21,36.089171974522294,157,14.47605263706251,21.549999999999955,2017-07
22,38.05714285714286,175,13.09896647924187,22.549999999999955,2017-07
23,37.27333333333333,150,13.266446885861768,23.549999999999955,2017-07
24,36.608695652173914,161,15.327741970461386,24.549999999999955,2017-07
25,34.645161290322584,155,13.588450947850097,25.549999999999955,2017-07
26,30.463917525773194,194,15.030236782369572,26.549999999999958,2017-07
27,32.776041666666664,192,14.012217890760555,27.549999999999955,2017-07
28,32.252747252747255,182,14.572807043191313,28.54999999999995,2017-07
29,33.27918781725889,197,13.758419438999624,29.549999999999955,2017-07
30,31.790055248618785,181,14.743364251125833,30.549999999999955,2017-07
31,31.935323383084576,201,14.411481395744868,31.549999999999955,2017-07
32,31.128342245989305,187,14.560758832379275,32.549999999999955,2017-07
33,29.556122448979593,196,15.292093256632487,33.549999999999955,2017-07
34,28.3,250,14.167174571570914,34.549999999999955,2017-07
35,27.804979253112034,241,14.074183520559947,35.549999999999955,2017-07
36,26.371900826446282,242,14.656867723889743,36.549999999999955,2017-07
37,26.791304347826088,230,14.488059020670912,37.549999999999955,2017-07
38,28.03846153846154,260,14.731000509211041,38.549999999999955,2017-07
39,26.12093023255814,215,15.025034531808089,39.549999999999955,2017-07
40,25.08823529411765,238,15.116306764749332,40.549999999999955,2017-07
41,23.884892086330936,278,14.290477573065598,41.549999999999955,2017-07
42,24.391304347826086,276,14.014504062244656,42.549999999999955,2017-07
43,23.418772563176894,277,13.778977684290373,43.549999999999955,2017-07
44,24.645756457564577,271,13.950971374639936,44.549999999999955,2017-07
45,22.54225352112676,284,14.148192577413722,45.549999999999955,2017-07
46,20.42950819672131,305,14.215763862400937,46.549999999999955,2017-07
47,20.633663366336634,303,13.508194304069704,47.549999999999955,2017-07
48,19.846153846153847,351,13.089329602792859,48.549999999999955,2017-07
49,19.18051575931232,349,13.881438395106466,49.54999999999995,2017-07
50,20.281653746770026,387,13.209972263643216,50.54999999999996,2017-07
51,17.656565656565657,396,13.079241735588372,51.549999999999955,2017-07
52,17.99462365591398,372,13.289031332882736,52.549999999999955,2017-07
