evidence_layer,snapshot,song_age,delta_excess,decay_equivalent_years,inversion_status
Matched residual,July 2017,16,2.5221556223943744,2.435375000355176,valid
Matched residual,July 2017,17,2.5221556223943744,2.4920024517352015,valid
Matched residual,July 2017,18,2.5221556223943744,2.54969674385252,valid
Matched residual,July 2017,19,2.5221556223943744,2.6085778184070207,valid
Matched residual,July 2017,20,2.5221556223943744,2.668720694122616,valid
Matched residual,July 2017,21,2.5221556223943744,2.730177518071091,valid
Matched residual,July 2017,22,2.5221556223943744,2.7929889146791,valid
Matched residual,July 2017,23,2.5221556223943744,2.857189823030023,valid
Matched residual,July 2017,24,2.5221556223943744,2.9228124999370166,valid
Matched residual,July 2017,25,2.5221556223943744,2.989888066269259,valid
Matched residual,July 2017,26,2.5221556223943744,3.05844730445407,valid
Matched residual,July 2017,27,2.5221556223943744,3.1285210708792803,valid
Matched residual,July 2017,28,2.5221556223943744,3.2001405101031892,valid
Matched residual,July 2017,29,2.5221556223943744,3.2733371669524907,valid
Matched residual,July 2017,30,2.5221556223943744,3.3481430459208283,valid
Matched residual,July 2017,31,2.5221556223943744,3.424590643291591,valid
Matched residual,July 2017,32,2.5221556223943744,3.5027129650704936,valid
Matched residual,July 2017,33,2.5221556223943744,3.5825435374643213,valid
Matched residual,July 2017,34,2.5221556223943744,3.664116413372124,valid
Matched residual,July 2017,35,2.5221556223943744,3.74746617667056,valid
Matched residual,July 2017,36,2.5221556223943744,3.8326279452056298,valid
Matched residual,July 2017,37,2.5221556223943744,3.919637372954675,valid
Matched residual,July 2017,38,2.5221556223943744,4.008530651591059,valid
Matched residual,July 2017,39,2.5221556223943744,4.0993445115633165,valid
Matched residual,July 2017,40,2.5221556223943744,4.1921162227391235,valid
Matched residual,July 2017,41,2.5221556223943744,4.286883594631483,valid
Matched residual,July 2017,42,2.5221556223943744,4.383684976208457,valid
Matched residual,July 2017,43,2.5221556223943744,4.48255925527819,valid
Matched residual,July 2017,44,2.5221556223943744,4.583545857436512,valid
Matched residual,July 2017,45,2.5221556223943744,4.6866847445622,valid
Matched residual,July 2017,46,2.5221556223943744,4.7920164128433385,valid
Matched residual,July 2017,47,2.5221556223943744,4.899581890317286,valid
Matched residual,July 2017,48,2.5221556223943744,5.009422733906668,valid
Matched residual,July 2017,49,2.5221556223943744,5.121581025932343,valid
Matched residual,July 2017,50,2.5221556223943744,5.236099370091303,valid
Matched residual,July 2017,51,2.5221556223943744,5.353020886866155,valid
Matched residual,July 2017,52,2.5221556223943744,5.472389208367844,valid
Matched residual,July 2017,53,2.5221556223943744,5.594248472579949,valid
Matched residual,July 2017,54,2.5221556223943744,5.718643316989855,valid
Matched residual,July 2017,55,2.5221556223943744,5.845618871590226,valid
Matched residual,July 2017,56,2.5221556223943744,5.9752207512324915,valid
Matched residual,July 2017,57,2.5221556223943744,6.1074950473148775,valid
Matched residual,July 2017,58,2.5221556223943744,6.242488318787963,valid
Matched residual,August 2022,1,2.5221556223943744,,above_young_maximum
Matched residual,August 2022,2,2.5221556223943744,,above_young_maximum
Matched residual,August 2022,3,2.5221556223943744,2.745949504322778,valid
Matched residual,August 2022,4,2.5221556223943744,2.7241554520798568,valid
Matched residual,August 2022,5,2.5221556223943744,2.706827793877564,valid
Matched residual,August 2022,6,2.5221556223943744,2.6935373266401306,valid
Matched residual,August 2022,7,2.5221556223943744,2.683922139353699,valid
Matched residual,August 2022,8,2.5221556223943744,2.677675269699874,valid
Matched residual,August 2022,9,2.5221556223943744,2.6745350352542516,valid
Matched residual,August 2022,10,2.5221556223943744,2.6742773793205163,valid
Matched residual,August 2022,11,2.5221556223943744,2.6767097530563095,valid
Matched residual,August 2022,12,2.5221556223943744,2.681666182420349,valid
Matched residual,August 2022,13,2.5221556223943744,2.6890032582902297,valid
Matched residual,August 2022,14,2.5221556223943744,2.6985968526000423,valid
Matched residual,August 2022,15,2.5221556223943744,2.7103394107337024,valid
Matched residual,August 2022,16,2.5221556223943744,2.7241377045952397,valid
Matched residual,August 2022,17,2.5221556223943744,2.739910957206641,valid
Matched residual,August 2022,18,2.5221556223943744,2.757589268643903,valid
Matched residual,August 2022,19,2.5221556223943744,2.7771122881703008,valid
Matched residual,August 2022,20,2.5221556223943744,2.7984280888403816,valid
Matched residual,August 2022,21,2.5221556223943744,2.821492209249037,valid
Matched residual,August 2022,22,2.5221556223943744,2.8462668344152604,valid
Matched residual,August 2022,23,2.5221556223943744,2.872720092781787,valid
Matched residual,August 2022,24,2.5221556223943744,2.900825450657443,valid
Matched residual,August 2022,25,2.5221556223943744,2.9305611889054966,valid
Matched residual,August 2022,26,2.5221556223943744,2.961909949227959,valid
Matched residual,August 2022,27,2.5221556223943744,2.9948583396066475,valid
Matched residual,August 2022,28,2.5221556223943744,3.029396590294965,valid
Matched residual,August 2022,29,2.5221556223943744,3.0655182530409135,valid
Matched residual,August 2022,30,2.5221556223943744,3.1032199375648197,valid
Matched residual,August 2022,31,2.5221556223943744,3.1425010800828375,valid
Matched residual,August 2022,32,2.5221556223943744,3.1833637395820595,valid
Matched residual,August 2022,33,2.5221556223943744,3.2258124182300065,valid
Matched residual,August 2022,34,2.5221556223943744,3.269853902676278,valid
Matched residual,August 2022,35,2.5221556223943744,3.3154971237117223,valid
Matched residual,August 2022,36,2.5221556223943744,3.362753031839027,valid
Matched residual,August 2022,37,2.5221556223943744,3.4116344869324777,valid
Matched residual,August 2022,38,2.5221556223943744,3.462156160165435,valid
Matched residual,August 2022,39,2.5221556223943744,3.5143344467972213,valid
Matched residual,August 2022,40,2.5221556223943744,3.5681873885050592,valid
Matched residual,August 2022,41,2.5221556223943744,3.6237346041493907,valid
Matched residual,August 2022,42,2.5221556223943744,3.6809972280333625,valid
Matched residual,August 2022,43,2.5221556223943744,3.739997854730909,valid
