covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,design,snapshot,family
artist_superstar_top1pct,0.16692996313849395,0.15943933420937362,0.020269716047628398,0.16692996313849395,0.16666666666666666,0.0007061825565561681,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
previous_popularity,42.84333859926277,29.446955759964958,0.7721972543900385,42.84333859926277,42.262769878883624,0.036438630692217144,baseline-attention + historical + artist-success NN,2017-07,song film-linked matching
chart_year,1982.5748913789162,1987.0799120234603,-0.2494215955496404,1982.5748913789162,1982.7772696089642,-0.012570482539976297,historical + artist-success NN,2022-08,song film-linked matching
age,40.07510862108401,35.570087976539675,0.24942159554964946,40.07510862108401,39.872730391035994,0.01257048253997762,historical + artist-success NN,2022-08,song film-linked matching
weeks,15.679396295449349,10.521260997067449,0.6113673968086655,15.679396295449349,15.466498970958153,0.024057900136602278,historical + artist-success NN,2022-08,song film-linked matching
peak_pos,27.474731305739766,48.88275434243176,-0.7488507920106332,27.474731305739766,27.692430825520237,-0.007858690628711034,historical + artist-success NN,2022-08,song film-linked matching
artist_catalog_size_excl_song,15.013720557969357,17.836002706970447,-0.10980010601408287,15.013720557969357,14.887948776583581,0.006408318731230229,historical + artist-success NN,2022-08,song film-linked matching
artist_total_weeks_excl_song,167.52412531442945,163.8092713737875,0.018486183396035753,167.52412531442945,166.4854790761491,0.005462829312683564,historical + artist-success NN,2022-08,song film-linked matching
artist_mean_weeks_excl_song,11.618652198192116,11.19085455163394,0.08346849403192513,11.618652198192116,11.617227343019001,0.0002921594677071698,historical + artist-success NN,2022-08,song film-linked matching
artist_best_peak_excl_song,13.434240079860244,14.060954348808679,-0.029540508426774546,13.434240079860244,13.231425702811245,0.009523073764060294,historical + artist-success NN,2022-08,song film-linked matching
artist_superstar_top1pct,0.164875371598445,0.1567223099481164,0.02219430943595625,0.164875371598445,0.164875371598445,0.0,historical + artist-success NN,2022-08,song film-linked matching
chart_year,1981.7906329113923,1984.5305668482013,-0.16344679078852717,1981.7906329113923,1982.4215189873419,-0.04050521657342852,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
age,40.85936708860769,38.119433151798816,0.16344679078852334,40.85936708860769,40.22848101265832,0.04050521657341711,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
weeks,15.67113924050633,10.879266702462223,0.5824782581396387,15.67113924050633,15.398227848101266,0.031683849724669574,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
peak_pos,27.068354430379745,48.07263941090742,-0.7384366260817983,27.068354430379745,26.91367088607595,0.005642882214581813,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
artist_catalog_size_excl_song,15.134177215189874,16.735445271151338,-0.06771425695652211,15.134177215189874,14.87493670886076,0.01380644787770446,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
artist_total_weeks_excl_song,170.18227848101264,163.26432461455857,0.03624717733400836,170.18227848101264,168.6681012658228,0.00805949824599261,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
artist_mean_weeks_excl_song,11.559383113368463,11.543803103296494,0.003110066655362495,11.559383113368463,11.61998654760578,-0.012935049149567172,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
artist_best_peak_excl_song,13.315064720462683,13.74760438056126,-0.02063060801986275,13.315064720462683,12.752013329630659,0.026735782162294705,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
artist_superstar_top1pct,0.16886075949367088,0.15678453631970546,0.03271046240223321,0.16886075949367088,0.16886075949367088,0.0,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
previous_popularity,47.331898734177216,32.087443430237016,0.8371628362245838,47.331898734177216,46.71088607594937,0.03796397587248065,baseline-attention + historical + artist-success NN,2022-08,song film-linked matching
chart_year,1982.5264298093587,1989.4545707915272,-0.3626298582373604,1982.5264298093587,1982.7629982668977,-0.014610725006079302,historical + artist-success NN,2025,song film-linked matching
age,43.12357019064134,36.195429208472774,0.3626298582373615,43.12357019064134,42.887001733102345,0.014610725006074035,historical + artist-success NN,2025,song film-linked matching
weeks,15.572790294627383,10.12184132292828,0.6384492363611125,15.572790294627383,15.372183708838822,0.022695880981778417,historical + artist-success NN,2025,song film-linked matching
peak_pos,27.69367417677643,49.44249349684132,-0.7597863326382694,27.69367417677643,27.895580589254767,-0.007256749152783142,historical + artist-success NN,2025,song film-linked matching
artist_catalog_size_excl_song,14.992201039861351,18.763842437755482,-0.13851388348295826,14.992201039861351,14.873700173310226,0.006024340473006977,historical + artist-success NN,2025,song film-linked matching
artist_total_weeks_excl_song,166.93110918544195,167.39237272389445,-0.00218615872989715,166.93110918544195,165.92374350086655,0.005303486986984418,historical + artist-success NN,2025,song film-linked matching
artist_mean_weeks_excl_song,11.612487478415495,10.992637758820214,0.11923649727852198,11.612487478415495,11.607693942919294,0.0009778999059279305,historical + artist-success NN,2025,song film-linked matching
