age_int,film_linked,mean_log1p_listeners,sem,n,age
18,1,11.816513513252902,0.16384434970268635,48,18.549999999999955
19,0,9.284475755319049,0.19740323136341706,157,19.549999999999955
19,1,11.526642700744471,0.30578464282341644,45,19.549999999999955
20,0,9.344390792030397,0.17957996213857652,165,20.549999999999955
20,1,11.404818992791789,0.2624701283377472,38,20.549999999999955
21,0,9.329420517649154,0.17438839524299915,153,21.549999999999955
21,1,11.720616297787702,0.2645063120885076,34,21.549999999999955
22,0,9.632220636704014,0.13862539791716058,170,22.549999999999955
22,1,11.284538867862898,0.18775653435748907,59,22.549999999999955
23,0,9.609718365003172,0.1768996954495837,143,23.549999999999955
23,1,11.189343401647276,0.1878119071399967,52,23.549999999999955
24,0,9.37169904980072,0.1771810411533149,151,24.549999999999955
24,1,11.43627769228969,0.22298729045026663,52,24.549999999999955
25,0,9.249204588083145,0.16229760324652429,149,25.549999999999955
25,1,11.3402831800215,0.2621000982737874,49,25.549999999999955
26,0,8.842005878959707,0.15778646559915954,189,26.549999999999955
26,1,11.239897690272185,0.29595165132481116,44,26.549999999999955
27,0,9.244353547014043,0.14941498574191436,179,27.549999999999955
27,1,11.062398818217737,0.20160374715302792,48,27.549999999999955
28,0,9.12533509354988,0.15323690596043077,175,28.549999999999955
28,1,11.326187154758136,0.1965703109812853,51,28.549999999999955
29,0,9.367537452661471,0.13094698493785734,196,29.549999999999955
29,1,10.885806911893985,0.23494922046294564,66,29.549999999999955
30,0,9.250962242607988,0.1547957514304615,179,30.549999999999955
30,1,10.96057165508538,0.21991618430818177,73,30.549999999999958
31,0,9.227609612766708,0.12768353787908363,197,31.549999999999955
31,1,10.774938761077138,0.20447872701017708,79,31.54999999999995
32,0,9.213745666952068,0.13410492648830893,180,32.549999999999955
32,1,11.089408185594513,0.1877624442881187,76,32.549999999999955
33,0,8.889697429563878,0.14852065147075744,193,33.549999999999955
33,1,11.091793139002537,0.14685137127258802,123,33.549999999999955
34,0,8.875472492526358,0.12752661683360011,249,34.549999999999955
34,1,11.53481316590376,0.1460038281291857,93,34.549999999999955
35,0,8.651307021430657,0.12344563157590957,239,35.549999999999955
35,1,11.021698669424397,0.16229720944704093,90,35.549999999999955
36,0,8.29549770163263,0.14129240141994187,240,36.549999999999955
36,1,10.925557717988532,0.17562077241599397,72,36.549999999999955
37,0,8.490516369536007,0.1316419101422119,227,37.549999999999955
37,1,10.821609364876041,0.17828308937702184,93,37.549999999999955
38,0,8.502915720749225,0.1329972108285025,259,38.549999999999955
38,1,10.899182310427685,0.17102730436445948,95,38.549999999999955
39,0,8.271386267938555,0.15255328183545983,211,39.549999999999955
39,1,11.003555711535762,0.13110536649293253,117,39.549999999999955
40,0,8.291313177022426,0.1370827918098977,234,40.549999999999955
40,1,10.84338020591808,0.1676489785632141,95,40.549999999999955
41,0,8.12130140474957,0.12628037589412652,277,41.549999999999955
41,1,10.94640973240309,0.19213601923576093,86,41.549999999999955
42,0,8.213413172072975,0.126352702023184,271,42.549999999999955
42,1,10.683142745561833,0.16033386041612605,96,42.549999999999955
43,0,8.219276475880099,0.12302506010636206,276,43.549999999999955
43,1,10.708646500084436,0.18613160866356585,85,43.549999999999955
44,0,8.29540515202886,0.124601297568224,269,44.549999999999955
44,1,10.662479802884429,0.1933196762151899,94,44.54999999999995
45,0,8.0711811545167,0.12176091785167939,279,45.549999999999955
45,1,11.082865067325795,0.12610608092131056,125,45.549999999999955
46,0,7.701248763992217,0.12406809766021042,304,46.549999999999955
46,1,10.764522577876205,0.17525269177124614,97,46.549999999999955
47,0,7.983223492280558,0.12535051316935084,303,47.549999999999955
47,1,10.76781750412883,0.19867909634793415,88,47.549999999999955
48,0,7.90689707604357,0.11250954980715273,348,48.549999999999955
48,1,10.831999097477599,0.1701463413726316,101,48.549999999999955
